,FileName,LabelName,DataYear,PatchSize,Stretch,bandorder,Window_col_off,Window_row_off,Window_width,Window_height
0,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,0,0,336,336
1,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,0,336,336,336
2,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,0,672,336,27
3,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,336,0,336,336
4,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,336,336,336,336
5,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,336,672,336,27
6,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,672,0,27,336
7,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,672,336,27,336
8,data_2009Aug/3_Train_test/train/image_match2023_4/ZP46.tif,data_2009Aug/3_Train_test/train/mask/ZP46.tif,data_2009Aug,336,0,1234,672,672,27,27
9,data_2009Aug/3_Train_test/train/image_match2023_4/ZP010.tif,data_2009Aug/3_Train_test/train/mask/ZP010.tif,data_2009Aug,336,0,1234,0,0,336,336
10,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,0,0,336,336
11,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,0,336,336,336
12,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,0,672,336,27
13,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,336,0,336,336
14,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,336,336,336,336
15,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,336,672,336,27
16,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,672,0,28,336
17,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,672,336,28,336
18,data_2009Aug/3_Train_test/train/image_match2023_4/ZP72.tif,data_2009Aug/3_Train_test/train/mask/ZP72.tif,data_2009Aug,336,0,1234,672,672,28,27
19,data_2009Aug/3_Train_test/train/image_match2023_4/ZP003.tif,data_2009Aug/3_Train_test/train/mask/ZP003.tif,data_2009Aug,336,0,1234,0,0,336,336
